,ligand,receptor,
1966,PTMA,VIPR1,
1967,PLG,PARD3,
1968,GZMA,PARD3,
1969,SLURP1,CHRNA2,
1970,RBP3,NOTCH1,
1971,RELN,ITGA3,
1972,RELN,ITGB1,
1973,RGMA,NEO1,
1974,RGMB,NEO1,
1975,RIMS1,CACNA1C,
1976,RIMS2,ABCA1,
1977,RNASE2,TLR2,
1978,AKR1B1,PTGFR,
1979,AKR1C3,PTGDR,
1980,AKR1C3,PTGDR2,
1981,AKR1C3,PTGFR,
1982,CBR1,PTGFR,
1983,PTGDS,PTGDR,
1984,PTGDS,PTGDR2,
1985,PTGES,PTGER1,
1986,PTGES,PTGER2,
1987,PTGES,PTGER3,
1988,PTGES,PTGER4,
1989,PTGES2,PTGER1,
1990,PTGES2,PTGER2,
1991,PTGES2,PTGER3,
1992,PTGES2,PTGER4,
1993,PTGES3,PTGER1,
1994,PTGES3,PTGER2,
1995,PTGES3,PTGER3,
1996,PTGES3,PTGER4,
1997,RSPO1,FZD8,
1998,RSPO1,KREMEN1,
1999,RSPO1,LGR4,
2000,RSPO1,LGR5,
2001,RSPO1,LGR6,
2002,RSPO1,LRP6,
2003,PYY,NPY1R,
2004,PYY,NPY2R,
2005,PYY,NPY4R,
2006,PYY,NPY5R,
2007,PYY,NPY6R,
2008,PYY,GPR83,
2009,RSPO1,ZNRF3,
2010,RSPO3,FZD8,
2011,RSPO3,LRP6,
2012,RSPO3,SDC4,
2013,RTN4,CNTNAP1,
2014,RTN4,LINGO1,
2015,RTN4,RTN4R,
2016,RTN4,TNFRSF19,
2017,S100A8,TLR4,
2018,S100A9,TLR4,
2020,SCGB1A1,LMBR1L,
2021,SCGB1A1,LRP2,
2022,SCGB3A1,MARCO,
2023,SCGB3A2,MARCO,
2024,SEMA3A,NRP2,
2025,SEMA3B,NRP1,
2026,SEMA3B,NRP2,
2027,SEMA3C,NRP1,
2028,SEMA3C,PLXND1,
2029,SEMA3D,NRP1,
2030,SEMA3F,NRP1,
2031,SEMA3F,PLXNA3,
2032,SEMA3G,NRP2,
2033,SEMA4B,DCBLD2,
2034,MPZ,MPZL1,
2035,SEMA4F,NRP2,
2036,JAM2,JAM2,
2037,SEMA6A,PLXNA4,
2043,SFRP1,FZD2,
2044,SFRP1,FZD6,
2045,SFTPA1,TLR2,
2046,SHANK1,ABCA1,
2047,SHANK1,BAI2,
2048,SHANK1,LPHN1,
2049,SHANK1,LPHN2,
2050,SHANK1,SSTR2,
2051,SHBG,CD177,
2052,SHBG,CLDN4,
2053,SHBG,SLC37A1,
2054,SLIT3,ROBO2,
2055,SORBS1,INSR,
2056,SOST,LRP5,
2057,SOST,LRP6,
2058,SPINK1,EGFR,
2059,SPINK1,NRSN1,
2060,SPINT1,ST14,
2061,SPP1,CD44,
2062,SPP1,ITGA5,
2063,PRSS3,PARD3,
2064,TAC4,TACR1,
2065,PRSS3,F2RL2,
2066,PRSS3,F2RL3,
2067,TCTN1,TMEM67,
2068,TGFA,ERBB2,
2069,GDF15,TGFBR2,
2070,INHBC,ACVR1C,
2071,TG,LRP2,
2072,THBS2,ITGA3,
2073,THBS2,ITGAV,
2074,THBS2,CD36,
2075,THBS2,CD47,
2076,THBS2,ITGB1,
2077,THBS2,ITGB3,
2078,TIMP1,CD63,
2079,TIMP2,ITGA3,
2080,TIMP2,ITGB1,
2081,TIMP3,AGTR2,
2082,CLEC2C,KLRB1,
2083,PRSS1,F2R,
2084,PRSS1,F2RL2,
2085,PRSS1,F2RL3,
2086,PRSS1,PARD3,
2087,TNF,TNFRSF21,
2088,UCN3,CRHR1,
2089,VASP,CXCR2,
2090,VCAN,CD44,
2091,VCAN,EGFR,
2092,VCAN,ITGA4,
2093,VCAN,ITGB1,
2094,VCAN,SELP,
2095,VCAN,TLR2,
2096,MPZL1,MPZL1,
2097,HLA-DRB1,CD4,
2098,HLA-DRB4,CD4,
2099,VIM,CD44,
2100,HLA-DRB3,CD4,
2101,WNT3A,APCDD1,
2102,WNT3A,LRP1,
2103,WNT5A,FZD1,
2104,WNT5A,MCAM,
2105,YARS,CXCR1,
2106,ZG16B,TLR2,
2107,ZG16B,TLR4,
2108,ZG16B,TLR5,
2109,ZG16B,TLR6,
2110,ZP3,MERTK,
2111,HLA-DRB5,CD4,
2112,NEGR1,NEGR1,
2113,MPZ,MPZ,
2114,HLA-DOB,CD4,
2115,HLA-DQB1,CD4,
2116,HLA-DPA1,CD4,
2117,HLA-DRA,CD4,
2118,CCL3L3,CCR1,
2119,CD80,CD274,
2120,GRN,SORT1,
2121,HLA-C,KIR2DS1,
2122,NECTIN1,NECTIN3,
2123,NECTIN3,NECTIN2,
2124,NECTIN3,NECTIN1,
2125,CD226,NECTIN2,
2126,HLA-C,KIR2DL2,
2127,PVR,TIGIT,
2128,JAM2,JAM3,
2129,PVR,KIR2DL5A,
2130,CD226,PVR,
2131,SEMA4A,PLXNB1,
2132,NECTIN2,CD226,
2133,NECTIN1,NECTIN4,
2134,SEMA4A,PLXNB2,
2135,CCL13,ACKR1,
2136,CCL17,ACKR2,
2137,CCL22,ACKR2,
2138,CD96,PVR,
2139,SEMA4A,PLXNB3,
2140,CLEC2D,KLRB1,
2141,CXCL2,ACKR1,
2142,CCL17,ACKR1,
2143,TIGIT,PVR,
2144,NECTIN1,CD96,
2145,CCL11,ACKR1,
2146,CCL14,ACKR1,
2147,CXCL6,ACKR1,
2148,CCL7,ACKR1,
2149,FGF10,FGFR1,
2150,CXCL5,ACKR1,
2151,SEMA5A,PLXNA1,
2152,NECTIN1,CADM3,
2153,SEMA6B,PLXNA4,
2154,CCL24,ACKR2,
2155,ICAM1,SPN,
2156,DSC1,DSG2,
2157,DSC2,DSG1,
2158,DSC2,DSG2,
2159,CCL8,ACKR1,
2160,FGF20,FGFR3,
2161,FGF20,FGFR4,
2162,FGF20,FGFR1,
2163,FGF20,FGFR2,
2164,PTPRC,MRC1,
2165,FGF16,FGFR1,
2166,THBS4,ITGA3,
2167,THBS4,ITGAV,
2168,THBS4,CD36,
2169,THBS4,CD47,
2170,THBS4,ITGB1,
2171,THBS4,ITGB3,
2172,SLURP1,CHRNA7,
2173,CD96,NECTIN1,
2174,CD209,CEACAM1,
2175,INSL3,RXFP1,
2176,PTPRC,CD22,
2177,CD22,PTPRC,
2178,CEACAM1,CEACAM5,
2179,ICOSLG,CTLA4,
2180,CXCL3,ACKR1,
2181,MIF,ACKR3,
2182,ICOSLG,CD28,
2183,PDGFA,PDGFRB,
2184,CXCL11,ACKR1,
2185,PRSS3,F2R,
2186,JAM3,JAM2,
2187,ADGRE5,CD55,
2188,SEMA6B,PLXNA2,
2189,KLK3,NTRK1,
2190,GHRH,VIPR2,
2191,GHRH,GHSR,
2192,KLK3,NGFR,
2193,UTS2B,SSTR5,
2194,CD8A,CEACAM5,
2195,SEMA5B,PLXNA1,
2196,SEMA5A,PLXNA3,
2197,SEMA5B,PLXNA3,
2198,F11R,JAM2,
2199,PRSS2,F2RL1,
2200,PRSS3,F2RL1,
2201,CD1D,CEACAM5,
2202,CLEC2A,KLRB1,
2203,CLEC2L,KLRB1,
2204,CLEC1B,KLRB1,
2205,HLA-C,KIR3DL3,
2206,COL1A1,GP6,
2207,VSIR,IGSF11,
2208,SLURP1,CHRNA10,
2209,SLURP1,CHRNA9,
2210,SLURP1,CHRNA4,
2211,JAM3,F11R,
2212,SLURP1,CHRNA3,
2213,DSG1,DSC3,
2214,SELE,CEACAM1,
2215,CCL1,ACKR1,
2216,CCL16,ACKR1,
2217,CCL18,ACKR1,
2218,CXCL9,ACKR1,
2219,CXCL10,ACKR1,
2220,CXCL13,ACKR1,
2221,CCL26,ACKR2,
2222,RETN,TLR4,
2223,RETN,CAP1,
2224,ANGPTL2,TLR4,
2225,ANGPTL4,CDH5,
2226,ANGPTL4,CDH11,
2227,ANGPTL4,SDC1,
2228,ANGPTL4,SDC2,
2229,ANGPTL4,SDC3,
2230,ANGPTL4,SDC4,
2231,MIF,CXCR2,
2232,BMP8B,BMPR2,
2233,BMP8B,BMPR1B,
2234,SPP1,ITGB6,
2235,SEMA3F,PLXNA4,
2236,COL6A1,ITGA1,
2237,COL6A1,ITGA2,
2238,COL6A1,ITGA3,
2239,COL6A1,ITGA9,
2240,COL6A1,ITGA10,
2241,COL6A1,ITGA11,
2242,COL6A1,ITGAV,
2243,COL6A1,CD44,
2244,COL6A1,GP6,
2245,COL6A1,ITGB1,
2246,COL6A1,ITGB8,
2247,SPP1,ITGB5,
2248,SEMA3D,PLXNA4,
2249,SEMA3G,PLXNA4,
2250,ANGPTL2,ITGB1,
2251,ANGPTL4,ITGB1,
2252,ANGPTL4,ITGB3,
2253,CNTN1,MCAM,
2254,CNTN1,NRCAM,
2255,ITGB2,ICAM2,
2256,TGFB1,ACVR1C,
2257,TGFB2,ACVR1C,
2258,TGFB3,ACVR1C,
2259,AGRN,DAG1,
2260,DSC1,DSG1,
2261,ENHO,GPR19,
2262,DSG2,DSC3,
2263,SIGLEC1,SPN,
2264,CTSG,F2RL3,
2265,CTSG,PARD3,
2266,CTSG,FPR1,
2267,CTSG,F2RL2,
2268,CTSG,F2RL1,
2269,CTSG,F2R,
2270,IGF2,ITGB3,
2271,IGF2,ITGB4,
2272,MIF,CXCR4,
2273,MIF,CD74,
2274,ANGPT2,ITGB1,
2275,THY1,ITGB3,
2276,SEMA3B,PLXNA4,
2277,SEMA4A,PLXNA4,
2278,BMP8B,ACVR2A,
2279,BMP8B,ACVR2B,
2280,BMP8B,BMPR1A,
2281,JAM3,ITGB2,
2282,COL4A3,ITGA1,
2283,COL4A3,ITGA2,
2284,COL4A3,ITGA3,
2285,COL4A3,ITGA9,
2286,COL4A3,ITGA10,
2287,COL4A3,ITGA11,
2288,COL4A3,CD44,
2289,COL4A3,ITGAV,
2290,COL4A3,ITGB1,
2291,COL4A3,ITGB8,
2292,COL4A3,GP6,
2293,BMP8B,ACVR1,
2294,SPP1,ITGA8,
2295,NAMPT,ITGA5,
2296,ANGPTL2,ITGA5,
2297,ANGPTL4,ITGA5,
2298,ANGPTL4,ITGAV,
2299,POSTN,ITGAV,
2300,SEMA3D,NRP2,
2301,GDF1,ACVR1C,
2302,IGFBP3,TMEM219,
2303,CDH2,FCER2,
2304,FCER2,FGFR2,
2305,FCER2,ITGAM,
2306,FCER2,ITGAX,
2307,FCER2,ITGAV,
2308,FCER2,CR2,
2309,FCER2,ITGB2,
2310,FCER2,ITGB3,
2311,THY1,ITGAM,
2312,WNT10B,FZD10,
2313,WNT10A,FZD6,
2314,WNT10A,FZD4,
2315,WNT10B,FZD5,
2316,WNT10A,FZD2,
2317,WNT10B,FZD9,
2318,JAM2,ITGA3,
2319,SEMA4A,NRP1,
2320,NRG4,ERBB2,
2321,WNT10B,FZD6,
2322,WNT10A,FZD3,
2323,WNT10B,FZD2,
2324,WNT10B,FZD8,
2325,WNT10A,FZD10,
2326,WNT10B,FZD4,
2327,JAM2,ITGAV,
2328,IBSP,ITGAV,
2329,NRG2,ERBB2,
2330,COMP,ITGAV,
2331,COMP,ITGB3,
2332,COMP,ITGB1,
2333,COMP,ITGA3,
2335,TGFB1,ACVR1B,
2336,TGFB2,ACVR1B,
2337,TGFB3,ACVR1B,
2338,PTN,ALK,
2339,PTN,PTPRZ1,
2340,PTN,SDC1,
2341,PTN,SDC3,
2342,PTN,SDC2,
2343,PTN,SDC4,
2344,PTN,NCL,
2345,PTN,ITGB3,
2346,PTN,ITGAV,
2347,POSTN,ITGB3,
2348,POSTN,ITGB5,
2349,SEMA3B,PLXNA1,
2350,SEMA3B,PLXNA2,
2351,SEMA3B,PLXNA3,
2352,SEMA3C,PLXNA1,
2353,SEMA3C,PLXNA2,
2354,SEMA3C,PLXNA3,
2355,SEMA3C,PLXNA4,
2356,SEMA3D,PLXNA1,
2357,SEMA3D,PLXNA2,
2358,SEMA3F,PLXNA1,
2359,SEMA3F,PLXNA2,
2360,SEMA3G,PLXNA1,
2361,SEMA3G,PLXNA2,
2362,SEMA3G,PLXNA3,
2363,GDF1,ACVR2A,
2364,THY1,ITGB2,
2365,WNT10B,LRP6,
2366,THBS3,ITGA3,
2367,THBS3,ITGAV,
2368,THBS3,CD36,
2369,THBS3,CD47,
2370,THBS3,ITGB1,
2371,THBS3,ITGB3,
2372,JAM2,ITGB1,
2373,SEMA4A,PLXNA1,
2374,SEMA4A,PLXNA2,
2375,SEMA4A,PLXNA3,
2376,IBSP,ITGB3,
2377,GDF10,ACVR2B,
2378,GDF10,ACVR2A,
2379,IGF2,ITGAV,
2380,IGF2,ITGA6,
2381,MIF,CD44,
2382,ANGPT2,ITGA5,
2383,THY1,ITGAV,
2384,THY1,ITGAX,
2385,NRG3,ERBB2,
2386,JAM3,ITGAM,
2387,ANGPTL2,LILRB3,
2388,MIF,TNFRSF14,
2389,ANGPTL7,LILRB3,
2390,BMP3,ACVR2A,
2391,GREM1,KDR,
2392,RTN4,RTN4RL1,
2393,GH,GHR,
2394,COL6A5,ITGA1,
2395,COL6A5,ITGA2,
2396,COL6A5,ITGA3,
2397,COL6A5,ITGA9,
2398,COL6A5,ITGA10,
2399,COL6A5,ITGA11,
2400,COL6A5,ITGAV,
2401,COL6A5,CD44,
2402,COL6A5,GP6,
2403,COL6A5,ITGB1,
2404,COL6A5,ITGB8,
2405,COL6A6,ITGA1,
2406,COL6A6,ITGA2,
2407,COL6A6,ITGA3,
2408,COL6A6,ITGA9,
2409,COL6A6,ITGA10,
2410,COL6A6,ITGA11,
2411,COL6A6,ITGAV,
2412,COL6A6,CD44,
2413,COL6A6,GP6,
2414,COL6A6,ITGB1,
2415,COL6A6,ITGB8,
2416,COL9A1,ITGA1,
2417,COL9A1,ITGA2,
2418,COL9A1,ITGA3,
2419,COL9A1,ITGA9,
2420,COL9A1,ITGA10,
2421,COL9A1,ITGA11,
2422,COL9A1,ITGAV,
2423,COL9A1,CD44,
2424,COL9A1,GP6,
2425,COL9A1,ITGB1,
2426,COL9A1,ITGB8,
2427,COL9A2,ITGA1,
2428,COL9A2,ITGA2,
2429,COL9A2,ITGA3,
2430,COL9A2,ITGA9,
2431,COL9A2,ITGA10,
2432,COL9A2,ITGA11,
2433,COL9A2,ITGAV,
2434,COL9A2,CD44,
2435,COL9A2,GP6,
2436,COL9A2,ITGB1,
2437,COL9A2,ITGB8,
2438,COL9A3,ITGA1,
2439,COL9A3,ITGA2,
2440,COL9A3,ITGA3,
2441,COL9A3,ITGA9,
2442,COL9A3,ITGA10,
2443,COL9A3,ITGA11,
2444,COL9A3,ITGAV,
2445,COL9A3,CD44,
2446,COL9A3,GP6,
2447,COL9A3,ITGB1,
2448,COL9A3,ITGB8,
2449,LAMA1,GPC1,
2450,LAMA1,RPSA,
2451,LAMA1,SDC2,
2452,LAMA1,NT5E,
2453,LAMA1,SDC4,
2454,LAMA1,TMPRSS6,
2455,LAMA1,ITGA1,
2456,LAMA1,ITGA2,
2457,LAMA1,ITGA3,
2458,LAMA1,ITGA6,
2459,LAMA1,ITGA7,
2460,LAMA1,ITGA9,
2461,LAMA1,ITGAV,
2462,LAMA1,CD44,
2463,LAMA1,SV2A,
2464,LAMA1,SV2B,
2465,LAMA1,SV2C,
2466,LAMA1,DAG1,
2467,LAMA1,ITGB1,
2468,LAMA1,ITGB8,
2469,LAMA1,ITGB4,
2470,LAMA2,ITGA1,
2471,LAMA2,ITGA2,
2472,LAMA2,ITGA3,
2473,LAMA2,ITGA6,
2474,LAMA2,ITGA7,
2475,LAMA2,ITGA9,
2476,LAMA2,ITGAV,
2477,LAMA2,CD44,
2478,LAMA2,SV2A,
2479,LAMA2,SV2B,
2480,LAMA2,SV2C,
2481,LAMA2,DAG1,
2482,LAMA2,ITGB1,
2483,LAMA2,ITGB8,
2484,LAMA2,ITGB4,
2485,LAMA2,ADGRG6,
2486,LAMA3,ITGA1,
2487,LAMA3,ITGA2,
2488,LAMA3,ITGA3,
2489,LAMA3,ITGA7,
2490,LAMA3,ITGA9,
2491,LAMA3,ITGAV,
2492,LAMA3,ITGA6,
2493,LAMA3,CD44,
2494,LAMA3,SV2A,
2495,LAMA3,SV2B,
2496,LAMA3,SV2C,
2497,LAMA3,DAG1,
2498,LAMA3,ITGB1,
2499,LAMA3,ITGB8,
2500,LAMA3,ITGB4,
2501,LAMA4,ITGA1,
2502,LAMA4,ITGA2,
2503,LAMA4,ITGA3,
2504,LAMA4,ITGA7,
2505,LAMA4,ITGA9,
2506,LAMA4,ITGAV,
2507,LAMA4,ITGA6,
2508,LAMA4,CD44,
2509,LAMA4,SV2A,
2510,LAMA4,SV2B,
2511,LAMA4,SV2C,
2512,LAMA4,DAG1,
2513,LAMA4,ITGB1,
2514,LAMA4,ITGB8,
2515,LAMA4,ITGB4,
2516,LAMA5,ITGA1,
2517,LAMA5,ITGA2,
2518,LAMA5,ITGA3,
2519,LAMA5,ITGA7,
2520,LAMA5,ITGA9,
2521,LAMA5,ITGAV,
2522,LAMA5,ITGA6,
2523,LAMA5,CD44,
2524,LAMA5,SV2A,
2525,LAMA5,SV2B,
2526,LAMA5,SV2C,
2527,LAMA5,DAG1,
2528,LAMA5,ITGB1,
2529,LAMA5,ITGB8,
2530,LAMA5,ITGB4,
2531,LAMB1,ITGA1,
2532,LAMB1,ITGA2,
2533,LAMB1,ITGA3,
2534,LAMB1,ITGA7,
2535,LAMB1,ITGA9,
2536,LAMB1,ITGAV,
2537,LAMB1,ITGA6,
2538,LAMB1,CD44,
2539,LAMB1,SV2A,
2540,LAMB1,SV2B,
2541,LAMB1,SV2C,
2542,LAMB1,DAG1,
2543,LAMB1,ITGB1,
2544,LAMB1,ITGB8,
2545,LAMB1,ITGB4,
2546,LAMB2,ITGA1,
2547,LAMB2,ITGA2,
2548,LAMB2,ITGA3,
2549,LAMB2,ITGA7,
2550,LAMB2,ITGA9,
2551,LAMB2,ITGAV,
2552,LAMB2,ITGA6,
2553,LAMB2,CD44,
2554,LAMB2,SV2A,
2555,LAMB2,SV2B,
2556,LAMB2,SV2C,
2557,LAMB2,DAG1,
2558,LAMB2,ITGB1,
2559,LAMB2,ITGB8,
2560,LAMB2,ITGB4,
2561,LAMB3,ITGA1,
2562,LAMB3,ITGA2,
2563,LAMB3,ITGA3,
2564,LAMB3,ITGA7,
2565,LAMB3,ITGA9,
2566,LAMB3,ITGAV,
2567,LAMB3,ITGA6,
2568,LAMB3,CD44,
2569,LAMB3,SV2A,
2570,LAMB3,SV2B,
2571,LAMB3,SV2C,
2572,LAMB3,DAG1,
2573,LAMB3,ITGB1,
2574,LAMB3,ITGB8,
2575,LAMB3,ITGB4,
2576,LAMC1,ITGA1,
2577,LAMC1,ITGA2,
2578,LAMC1,ITGA3,
2579,LAMC1,ITGA7,
2580,LAMC1,ITGA9,
2581,LAMC1,ITGAV,
2582,LAMC1,ITGA6,
2583,LAMC1,CD44,
2584,LAMC1,SV2A,
2585,LAMC1,SV2B,
2586,LAMC1,SV2C,
2587,LAMC1,DAG1,
2588,LAMC1,ITGB8,
2589,LAMC1,ITGB4,
2590,LAMC2,ITGA1,
2591,LAMC2,ITGA2,
2592,LAMC2,ITGA3,
2593,LAMC2,ITGA7,
2594,LAMC2,ITGA9,
2595,LAMC2,ITGAV,
2596,LAMC2,ITGA6,
2597,LAMC2,CD44,
2598,LAMC2,SV2A,
2599,LAMC2,SV2B,
2600,LAMC2,SV2C,
2601,LAMC2,DAG1,
2602,LAMC2,ITGB1,
2603,LAMC2,ITGB8,
2604,LAMC2,ITGB4,
2605,LAMC3,ITGA1,
2606,LAMC3,ITGA2,
2607,LAMC3,ITGA3,
2608,LAMC3,ITGA7,
2609,LAMC3,ITGA9,
2610,LAMC3,ITGAV,
2611,LAMC3,ITGA6,
2612,LAMC3,CD44,
2613,LAMC3,SV2A,
2614,LAMC3,SV2B,
2615,LAMC3,SV2C,
2616,LAMC3,DAG1,
2617,LAMC3,ITGB1,
2618,LAMC3,ITGB8,
2619,LAMC3,ITGB4,
2620,TNR,ITGA8,
2621,TNR,ITGA9,
2622,TNR,ITGAV,
2623,TNR,ITGB1,
2624,TNR,ITGB3,
2625,TNR,ITGB6,
2626,TNR,ITGA2B,
2627,TNR,SDC1,
2629,TNN,ITGA8,
2630,TNN,ITGA9,
2631,TNN,ITGAV,
2632,TNN,ITGB1,
2633,TNN,ITGB3,
2634,TNN,ITGB6,
2635,TNN,ITGA2B,
2636,TNN,SDC1,
2637,TNN,SDC4,
2638,TNXB,ITGA8,
2639,TNXB,ITGA9,
2640,TNXB,ITGAV,
2641,TNXB,ITGB1,
2642,TNXB,ITGB3,
2643,TNXB,ITGB6,
2644,TNXB,ITGA2B,
2645,TNXB,SDC1,
2646,TNXB,SDC4,
2647,ADCYAP1,SCTR,
2648,AGT,LRP2,
2649,ANGPT1,ITGB1,
2652,ANGPTL2,TIE1,
2653,ANGPTL3,ITGA5,
2654,ANGPTL4,TIE1,
2655,APOB,APOBR,
2656,APOB,LDLR,
2657,APOB,LRP2,
2658,APOB,LSR,
2659,APOB,CALCR,
2660,APOB,ITGAM,
2661,APOB,ITGB2,
2662,APOB,LRP6,
2663,APOB,LRP8,
2664,APOB,OLR1,
2665,APOC3,SDC2,
2666,APOC3,TLR2,
2668,AVP,OXTR,
2669,BCAN,EGFR,
2670,BCAN,NRCAM,
2671,BDNF,DDR1,
2672,BDNF,DRD4,
2673,BDNF,NGFRAP1,
2674,BDNF,NGFR,
2675,BDNF,SORT1,
2676,BDNF,NTRK2,
2677,C6orf15,DDR1,
2679,CCL13,CCR9,
2680,CCL13,CXCR3,
2681,CCL19,ACKR2,
2682,CCL19,CCR10,
2683,CCL19,CCRL2,
2684,CCL28,ACKR2,
2685,CCL5,ACKR4,
2687,CCL5,GPR75,
2689,CCL7,ACKR4,
2690,CD34,SELL,
2691,CGN,TGFBR1,
2692,CGN,TGFBR2,
2693,CLCF1,IL6ST,
2694,CNTN2,NRP1,
2695,CSF2,CSF2RA,
2696,CSF2,CSF2RB,
2697,CSHL1,GHR,
2698,CTGF,LRP6,
2699,CXCL11,CCR3,
2700,CXCL12,CXCR7,
2701,CXCL13,HTR2A,
2702,CXCL13,OPRD1,
2703,CXCL2,XCR1,
2704,CXCL9,CCR3,
2705,DUSP18,ITGA1,
2706,DUSP18,ITGA2,
2707,DUSP18,ITGA3,
2708,DUSP18,ITGA6,
2709,DUSP18,ITGA7,
2710,DUSP18,ITGB1,
2711,DUSP18,ITGB4,
2712,DUSP18,RPSA,
2713,EDIL3,ITGB5,
2714,EGFL8,NCR3,
2715,EGF,FSHR,
2716,FASLG,TNFRSF6B,
2717,FGF11,FGFR1,
2718,FGF11,FGFR2,
2719,FGF11,FGFR3,
2720,FGF11,FGFR4,
2721,FGF12,FGFR1,
2722,FGF12,FGFR2,
2723,FGF12,FGFR3,
2724,FGF12,FGFR4,
2725,FGF13,EGFR,
2726,FGF13,FGFR1,
2727,FGF13,FGFR2,
2728,FGF13,FGFR3,
2729,FGF13,FGFR4,
2730,FGF14,FGFR1,
2731,FGF14,FGFR2,
2732,FGF14,FGFR3,
2733,FGF14,FGFR4,
2734,FGF2,ITGB3,
2735,FGF2,FGFR1,
2736,FGF2,FGFR2,
2737,FGF2,FGFR3,
2738,FGF2,FGFR4,
2739,FGF2,ITGAV,
2740,FGF21,FGFR1,
2741,FGF21,FGFR3,
2742,FGF21,KLB,
2743,FGF21,FGFR4,
2744,FLRT3,ADGRL2,
2745,FLRT3,ADGRL3,
2746,FLRT3,ADGRL1,
2747,FST,BMPR1B,
2748,IHH,PTCH1,
2749,IHH,CDON,
2750,IHH,PTCH2,
2751,IHH,BOC,
2752,IHH,HHIP,
2753,IHH,GAS1,
2754,GDNF,EDNRB,
2755,GIP,INSR,
2756,HLA-A,APLP2,
2757,HLA-A,CD3D,
2758,HLA-A,CD3G,
2759,HLA-A,ERBB2,
2760,HLA-A,KIR2DL1,
2761,HLA-A,KIR2DL3,
2762,HLA-B,CD3D,
2763,HLA-B,CD3G,
2764,HLA-B,KIR2DL3,
2765,HLA-C,CD3D,
2766,HLA-C,CD3G,
2767,HLA-C,DDR1,
2768,HLA-C,KIR3DL1,
2769,HLA-C,LILRA3,
2770,HLA-C,NOTCH4,
2771,HLA-E,KIR3DL1,
2772,HLA-G,CD4,
2773,HLA-G,KLRC1,
2774,HLA-G,KLRD1,
2775,IAPP,RAMP1,
2776,IAPP,RAMP2,
2777,IL10,SIRPG,
2778,IL16,CCR5,
2779,IL1RN,IL1RL2,
2780,IL22,IL21R,
2781,IL2,GYPE,
2782,KITLG,EPOR,
2783,LEFTY1,TDGF1,
2784,KNG1,BDKRB1,
2785,KNG1,BDKRB2,
2786,KNG1,GP1BA,
2787,KNG1,GPR135,
2788,KNG1,ITGAM,
2789,KNG1,ITGB2,
2790,KNG1,SDC2,
2791,KNG1,RXFP4,
2792,NCAM2,L1CAM,
2793,L1CAM,ITGA4,
2794,L1CAM,ITGB7,
2795,L1CAM,ERBB2,
2796,L1CAM,ERBB3,
2797,CNTN2,L1CAM,
2798,L1CAM,ITGAV,
2799,L1CAM,L1CAM,
2800,L1CAM,ITGB3,
2801,L1CAM,CNTN1,
2802,L1CAM,EGFR,
2803,L1CAM,ITGB1,
2804,L1CAM,ITGA9,
2805,L1CAM,EPHB2,
2806,L1CAM,FGFR2,
2807,L1CAM,ITGA5,
2808,APLP2,PIGR,
2809,APLP2,PLXNA4,
2810,NGF,MAGED1,
2811,NGF,NGFR,
2812,NGF,NTRK1,
2813,NGF,KIDINS220,
2814,NGF,NGFRAP1,
2815,NGF,SORCS3,
2816,NGF,SORT1,
2817,LAMA2,RPSA,
2818,LAMA3,SDC2,
2819,LAMA5,SDC1,
2820,LAMB2,RPSA,
2821,LEP,LRP2,
2822,LPA,ITGAM,
2823,LPA,ITGB2,
2824,LY6G5C,TMEM8A,
2825,MIA,CDH19,
2826,NPY,NPY1R,
2827,NPY,NPY2R,
2828,NPY,NPY4R,
2829,NPY,NPY5R,
2830,NPY,NPY6R,
2831,NPY,GPR83,
2832,NPY,PRLHR,
2833,NTF4,NTRK1,
2834,NTNG2,LRRC4,
2835,ORM1,CCR5,
2836,OXT,AVPR2,
2837,PF4,FGFR2,
2838,PI3,PLD2,
2839,PIP,NPTN,
2840,PLG,F3,
2841,PLG,FLT1,
2842,PLG,ITGA9,
2843,PLG,ITGAM,
2844,PLG,ITGB1,
2845,PLG,ITGB2,
2846,PTHLH,PRLHR,
2847,PDGFC,PDGFRB,
2848,QRFP,P2RY14,
2849,RGMA,BMPR1B,
2850,RGMA,BMPR2,
2852,SEMA3E,NRP1,
2853,SEMA5A,MET,
2854,SFTPD,TLR4,
2855,SLIT2,DCC,
2856,SPON2,ITGAM,
2857,SPON2,ITGB2,
2859,TAC3,TACR2,
2860,TAC3,TACR3,
2861,TAC4,TACR2,
2862,TAC4,TACR3,
2863,VTN,ITGA3,
2864,VTN,ITGB6,
2865,VTN,KDR,
2866,VTN,TNFRSF11B,
2867,VWF,GP1BB,
2868,VWF,ITGAV,
2869,VWF,ITGB3,
2870,VWF,ITGA2B,
2871,VWF,GP1BA,
2872,VWF,TNFRSF11B,
2873,WNT3A,ATP6AP2,
2874,ZP3,EGFR,
2876,ANXA1,FPR3,
2878,CYP11B2,NR3C1,
2879,CYP11B2,NR3C2,
2880,TNC,EGFR,
2881,TNC,ITGA2,
2882,TNC,ITGA7,
2883,TNC,PTPRB,
2884,TNC,PTPRZ1,
2885,TNFSF10,TNFRSF11B,
2886,VIP,SCTR,
2887,C1orf112,PLSCR4,
2888,C1orf194,PLSCR4,
2889,MDK,ALK,
2890,MDK,PTPRZ1,
2891,MDK,SDC3,
2892,MDK,LRP1,
2893,MDK,SDC4,
2894,MDK,SDC1,
2895,MDK,SDC2,
2896,MDK,ITGB1,
