,ligand,receptor,
333,NLGN2,NRXN2,
334,NLGN2,NRXN3,
335,NLGN3,NRXN1,
336,NLGN3,NRXN2,
337,NLGN3,NRXN3,
338,NMB,GRPR,
339,NMB,NMBR,
340,NMS,NMUR1,
341,NMS,NMUR2,
342,NMU,NMUR1,
343,NMU,NMUR2,
344,NPB,NPBWR1,
345,NPB,NPBWR2,
346,NPFF,NPFFR1,
347,NPFF,NPFFR2,
348,NPPA,NPR1,
349,NPS,NPSR1,
350,NPW,NPBWR1,
351,NPW,NPBWR2,
352,NTS,NTSR1,
353,NTS,NTSR2,
354,INHBE,ACVR1B,
355,NTF3,NGFR,
356,NTF3,NTRK1,
357,NTF3,NTRK2,
358,NTF3,NTRK3,
359,NTF4,NGFR,
360,NTF4,NTRK2,
361,CNTN1,NOTCH1,
362,CNTN1,NOTCH2,
363,DLK1,NOTCH1,
364,DLK1,NOTCH2,
365,DLK1,NOTCH3,
366,DLK1,NOTCH4,
367,DLL1,NOTCH1,
368,DLL1,NOTCH2,
369,DLL1,NOTCH3,
370,DLL1,NOTCH4,
371,DLL3,NOTCH1,
372,DLL3,NOTCH2,
373,DLL3,NOTCH3,
374,DLL3,NOTCH4,
375,DLL4,NOTCH1,
376,DLL4,NOTCH2,
377,DLL4,NOTCH3,
378,DLL4,NOTCH4,
379,JAG1,NOTCH1,
380,JAG1,NOTCH2,
381,JAG1,NOTCH3,
382,JAG1,NOTCH4,
383,JAG2,VASN,
384,JAG2,NOTCH1,
385,JAG2,NOTCH2,
386,JAG2,NOTCH3,
387,JAG2,NOTCH4,
388,PDYN,OPRD1,
389,PDYN,OPRK1,
390,PDYN,OPRM1,
391,PDYN,OPRL1,
392,PENK,OPRL1,
393,PENK,GHSR,
394,PENK,OPRD1,
395,PENK,OPRK1,
396,PENK,OPRM1,
397,PNOC,OPRL1,
398,HCRT,HCRTR1,
399,HCRT,HCRTR2,
400,OXT,AVPR1A,
401,OXT,AVPR1B,
402,OXT,OXTR,
403,PTH,PTH1R,
404,PTH,PTH2R,
405,PTH2,PTH1R,
406,PTH2,PTH2R,
407,PTHLH,PTH1R,
408,PTHLH,PTH2R,
409,ADCYAP1,ADCYAP1R1,
410,ADCYAP1,VIPR1,
411,ADCYAP1,VIPR2,
412,PGF,FLT1,
413,PGF,NRP1,
414,PGF,NRP2,
415,PGF,KDR,
416,PLAU,PLAUR,
417,PDGFA,PDGFRA,
418,PDGFB,PDGFRA,
419,PDGFB,PDGFRB,
420,PDGFC,PDGFRA,
421,PDGFD,PDGFRB,
422,PODXL2,SELE,
423,PODXL2,SELP,
424,PODXL2,SELL,
425,POMC,MC1R,
426,POMC,OPRL1,
427,PVR,CD226,
428,GCG,GIPR,
429,GCG,GCGR,
430,GCG,GLP1R,
431,GCG,GLP2R,
432,PMCH,MCHR1,
433,PMCH,MCHR2,
434,GNRH1,GNRHR2,
435,GNRH1,GNRHR,
436,RLN1,RXFP4,
437,GNRH2,GNRHR,
438,GNRH2,GNRHR2,
439,PROK1,PROKR1,
440,PROK1,PROKR2,
441,PROK2,PROKR1,
442,PROK2,PROKR2,
443,PRL,PRLR,
444,PRLH,PRLHR,
445,POMC,MC2R,
446,POMC,MC3R,
447,POMC,MC4R,
448,POMC,MC5R,
449,POMC,OPRD1,
450,POMC,OPRK1,
451,POMC,OPRM1,
452,RLN1,RXFP1,
453,RLN1,RXFP2,
454,RLN1,RXFP3,
455,RLN2,RXFP1,
456,RLN2,RXFP2,
457,RLN2,RXFP3,
458,RLN3,RXFP1,
459,RLN3,RXFP2,
460,RLN3,RXFP3,
461,RLN3,RXFP4,
462,PSAP,GPR37,
463,PSAP,GPR37L1,
464,PPY,NPY1R,
465,PPY,NPY2R,
466,PPY,NPY4R,
467,PPY,NPY5R,
468,RSPO1,LGR4,
469,RSPO1,LGR5,
470,RSPO1,LGR6,
471,RSPO2,LGR4,
472,RSPO2,LGR5,
473,RSPO2,LGR6,
474,RSPO3,LGR4,
475,RSPO3,LGR5,
476,RSPO3,LGR6,
477,RSPO4,LGR4,
478,RSPO4,LGR5,
479,RSPO4,LGR6,
480,RELN,LRP8,
481,RELN,VLDLR,
482,RARRES2,CCRL2,
483,RARRES2,CMKLR1,
484,RARRES2,GPR1,
485,SCT,SCTR,
486,SCT,VIPR1,
487,SCT,VIPR2,
488,SELE,GLG1,
489,SELPLG,SELE,
490,SELPLG,SELL,
491,SELPLG,SELP,
492,SEMA3A,NRP1,
493,SEMA3C,NRP2,
494,SEMA3E,PLXND1,
495,SEMA3F,NRP2,
496,SEMA4A,PLXND1,
497,SEMA4C,PLXNB2,
498,SEMA4D,CD72,
499,SEMA4D,PLXNB1,
500,SEMA4D,PLXNB2,
501,SEMA4G,PLXNB2,
502,SEMA5A,PLXNB3,
503,SEMA7A,PLXNC1,
504,SLIT1,ROBO1,
505,SLIT2,ROBO1,
506,SLIT2,ROBO2,
507,CORT,SSTR1,
508,CORT,SSTR2,
509,CORT,SSTR3,
510,CORT,SSTR4,
511,CORT,SSTR5,
512,GH1,GHR,
513,GH2,GHR,
514,SST,SSTR1,
515,SST,SSTR2,
516,SST,SSTR3,
517,SST,SSTR4,
518,SST,SSTR5,
519,TAC1,TACR1,
520,TAC1,TACR2,
521,TAC1,TACR3,
522,TAC3,TACR1,
523,TAFA5,FPR2,
524,TAFA5,S1PR2,
525,TF,TFR2,
526,TGFA,EGFR,
527,TGFB1,TGFBR3,
528,TGFB2,TGFBR3,
529,TGFB3,TGFBR3,
530,BTLA,TNFRSF14,
531,FASLG,FAS,
532,LTA,TNFRSF14,
533,LTA,TNFRSF1A,
534,LTA,TNFRSF1B,
535,TNF,TNFRSF1A,
536,TNF,TNFRSF1B,
537,TNFSF10,TNFRSF10A,
538,TNFSF10,TNFRSF10B,
539,TNFSF10,TNFRSF10C,
540,TNFSF10,TNFRSF10D,
541,TNFSF11,TNFRSF11A,
542,TNFSF11,TNFRSF11B,
543,TNFSF12,TNFRSF12A,
544,TNFSF12,TNFRSF25,
545,TNFSF13,TNFRSF13B,
546,TNFSF13,TNFRSF17,
547,TNFSF13B,TNFRSF13B,
548,TNFSF13B,TNFRSF13C,
549,TNFSF13B,TNFRSF17,
550,TNFSF14,LTBR,
551,TNFSF14,TNFRSF14,
552,TNFSF14,TNFRSF6B,
553,TNFSF15,TNFRSF25,
554,TNFSF15,TNFRSF6B,
555,TNFSF18,TNFRSF18,
556,TNFSF4,TNFRSF4,
557,TNFSF8,TNFRSF8,
558,TNFSF9,TNFRSF9,
559,UCN,CRHR1,
560,UCN,CRHR2,
561,UCN2,CRHR1,
562,UCN2,CRHR2,
563,UCN3,CRHR2,
564,UTS2,UTS2R,
565,UTS2B,UTS2R,
